#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
contrapointsfan.club,silence,false,false,"",false
dobbs.town,silence,false,false,"",false
feral.cafe,silence,false,false,"",false
masthead.social,silence,false,false,"",false
miruku.cafe,silence,false,false,"",false
rcsocial.net,silence,false,false,"",false
ursal.zone,silence,false,false,"",false
bylines.social,silence,false,false,"",false
equel.social,silence,false,false,"",false
iamterminally.online,silence,false,false,"",false
mastodon.la,silence,false,false,"",false
minidisc.tokyo,silence,false,false,"",false
newsie.social,silence,false,false,"",false
nixnet.social,silence,false,false,"",false
pirateradio.social,silence,false,false,"",false
raspberrypi.social,silence,false,false,"",false
whitesmokebbq.social,silence,false,false,"",false
